	NR	NRName	CID	EC50
607	NR1H2	LXR_beta	8764	0.003
881	NR1C1	PPAR_alpha	3557	0.003
889	NR1C1	PPAR_alpha	3565	0.003
1317	NR1C1	PPAR_alpha	3993	0.003
1712	NR1C1	PPAR_alpha	5267	0.003
1938	NR1C1	PPAR_alpha	7406	0.003
2170	NR1C1	PPAR_alpha	7638	0.003
2171	NR1C1	PPAR_alpha	7639	0.003
2176	NR1C1	PPAR_alpha	7644	0.003
2214	NR1C1	PPAR_alpha	7682	0.003
2332	NR1C1	PPAR_alpha	7800	0.003
2856	NR1C1	PPAR_alpha	9448	0.003
2893	NR1C1	PPAR_alpha	9485	0.003
4399	NR1C2	PPAR_delta	1721	0.003
4411	NR1C2	PPAR_delta	1733	0.003
4612	NR1C2	PPAR_delta	2279	0.003
4937	NR1C2	PPAR_delta	2604	0.003
4944	NR1C2	PPAR_delta	2611	0.003
5014	NR1C2	PPAR_delta	2681	0.003
5074	NR1C2	PPAR_delta	6478	0.003
5176	NR1C2	PPAR_delta	6580	0.003
5178	NR1C2	PPAR_delta	6582	0.003
5398	NR1C2	PPAR_delta	6802	0.003
6131	NR1C3	PPAR_gamma	2859	0.003
6225	NR1C3	PPAR_gamma	2953	0.003
6271	NR1C3	PPAR_gamma	2999	0.003
6407	NR1C3	PPAR_gamma	3135	0.003
6413	NR1C3	PPAR_gamma	3141	0.003
6432	NR1C3	PPAR_gamma	3160	0.003
6433	NR1C3	PPAR_gamma	3161	0.003
6436	NR1C3	PPAR_gamma	3164	0.003
6568	NR1C3	PPAR_gamma	4365	0.003
6582	NR1C3	PPAR_gamma	4379	0.003
6588	NR1C3	PPAR_gamma	4385	0.003
6989	NR1C3	PPAR_gamma	4786	0.003
6997	NR1C3	PPAR_gamma	4794	0.003
7055	NR1C3	PPAR_gamma	4852	0.003
7057	NR1C3	PPAR_gamma	4854	0.003
8110	NR1C3	PPAR_gamma	8475	0.003
8122	NR1C3	PPAR_gamma	8487	0.003
8251	NR1C3	PPAR_gamma	9593	0.003
